id, iata, icao, model
253,J31,JS31,British Aerospace Jetstream 31
254,J32,JS32,British Aerospace Jetstream 32
255,J41,JS41,British Aerospace Jetstream 41
256,JU5,JU52,Junkers Ju52/3M
257,L10,L101,Lockheed L-1011 Tristar pax
258,L11,L101,Lockheed L-1011 1 / 50 / 100 / 150 / 200 / 250 Tristar pax
259,L15,L101,Lockheed L-1011 500 Tristar pax
260,L1F,L101,Lockheed L-1011 Tristar Freighter
261,L49,CONI,Lockheed L-1049 Super Constellation
262,L4T,L410,LET 410
263,LOE,L188,Lockheed L-188 Electra pax
264,LOF,L188,Lockheed L-188 Electra Freighter
265,LOH,C130,Lockheed L-182 / 282 / 382 (L-100) Hercules
266,LOM,L188,Lockheed L-188 Electra Mixed Configuration
267,M11,MD11,McDonnell Douglas MD11 pax
268,M1F,MD11,McDonnell Douglas MD11 Freighter
269,M1M,MD11,McDonnell Douglas MD11 Mixed Configuration
270,M80,MD80,McDonnell Douglas MD80
271,M81,MD81,McDonnell Douglas MD81
272,M82,MD82,McDonnell Douglas MD82
273,M83,MD83,McDonnell Douglas MD83
274,M87,MD87,McDonnell Douglas MD87
275,M88,MD88,McDonnell Douglas MD88
276,M90,MD90,McDonnell Douglas MD90
277,MBH,B105,Eurocopter (MBB) Bo.105
278,MD9,EXPL,MD Helicopters MD900 Explorer
279,MIH,MI8,MIL Mi-8 / Mi-17 / Mi-171 / Mil-172
280,MU2,MU2,Mitsubishi Mu-2
281,ND2,N262,Aerospatiale (Nord) 262
282,NDC,S601,Aerospatiale SN.601 Corvette
283,NDH,S65C,Eurocopter (Aerospatiale) SA365C / SA365N Dauphin 2
284,PL2,PC12,Pilatus PC-12
285,PL6,PC6T,Pilatus PC-6 Turbo Porter
286,PN6,P68,Partenavia P.68
287,S20,SB20,Saab 2000
288,S58,S58T,Sikorsky S-58T
289,S61,S61,Sikorsky S-61
290,S76,S76,Sikorsky S-76
291,SF3,SF34,Saab SF340
292,SFB,SF34,Saab SF340B
293,SFF,SF34,Saab SF340 Freighter
294,SH3,SH33,Shorts SD.330
295,SH6,SH36,Shorts SD.360
296,SHB,BELF,Shorts SC-5 Belfast
297,SHS,SC7,Shorts SC-7 Skyvan
298,SSC,CONC,Aerospatiale/BAC Concorde
299,SU1,NULL,Sukhoi Superjet 100
300,SU7,NULL,Sukhoi Superjet 100-75
301,SU9,SU95,Sukhoi Superjet 100-95
302,T20,T204,Tupolev Tu-204 / Tu-214
303,T2F,T204,Tupolev Tu-204 Freighter
304,TU3,T134,Tupolev Tu134
305,TU5,T154,Tupolev Tu154
306,VCV,VISC,Vickers Viscount
307,WWP,WW24,Israel Aircraft Industries 1124 Westwind
308,YK2,YK42,Yakovlev Yak 42
309,YK4,YK40,Yakovlev Yak 40
310,YN2,Y12,Harbin Yunshuji Y12
311,YN7,AN24,Xian Yunshuji Y7
312,YS1,YS11,NAMC YS-11
