id, iata, icao, name, country_id
1126,LND,NULL,HUNT FIELD,57
1127,WJF,NULL,WILLIAM J FOX,57
1128,LKV,NULL,LAKE COUNTY,57
1129,AIZ,NULL,LEE C FINE MEMORIAL,57
1130,LJN,NULL,BRAZORIA COUNTY,57
1131,LAF,NULL,PURDUE UNIVERSITY,57
1132,KOA,NULL,KE-AHOLE,57
1133,ADQ,NULL,KODIAK,57
1134,OBU,NULL,RALPH WIEN MEMORIAL,57
1135,TYS,NULL,MCGHEE TYSON,57
1136,LMT,NULL,KINGSLEY FIELD,57
1137,ISM,NULL,MUNICIPAL,57
1138,ISO,NULL,STALLING FIELD,57
1139,AKN,PAKN,KING SALMON,57
1140,IAN,NULL,BOB BARKER MEMORIAL,57
1141,EEN,NULL,DILLANT-HOPKINS,57
1142,MVM,NULL,MONUMENT COUNTY,57
1143,HPV,NULL,PRINCEVILLE,57
1144,LIH,NULL,LIHUE,57
1145,MCI,KMCI,KANSAS CITY INTL,57
1146,MKC,NULL,DOWNTOWN,57
1147,FCA,NULL,GLACIER NATIONAL PARK,57
1148,AZO,NULL,BATTLE CREEK INTERNATIONAL,57
1149,OGG,PHOG,KAHULUI,57
1150,JST,NULL,CAMBRIA COUNTY,57
1151,JVL,NULL,ROCK COUNTY,57
1152,CRG,NULL,CRAIG MUNICIPAL,57
1153,JAX,NULL,INTERNATIONAL,57
1154,OAJ,NULL,ALBERT J. ELLIS,57
1155,NULL,KJAX,JECKSONVILLE INTERNATIONAL AIRPORT,57
1156,JXN,NULL,REYNOLDS MUNICIPAL,57
1157,MKL,NULL,MCKELLAR,57
1158,HKS,NULL,HAWKINS FIELD,57
1159,JAC,NULL,JACKSON HOLE,57
1160,ISP,NULL,LONG ISLAND MACARTHUR,57
1161,IWD,NULL,GOGEBIC COUNTY,57
1162,INL,NULL,FALLS INTERNATIONAL,57
1163,IND,KIND,INDIANAPOLIS INTL,57
1164,IDA,NULL,FANNING FIELD,57
1165,HYA,NULL,BARNSTABLE,57
1166,HON,NULL,HOWES,57
1167,HSV,NULL,MADISON COUNTY,57
1168,HTS,NULL,TRI-STATE/MILTON,57
1169,HSP,NULL,INGALLS FIELD,57
1170,BPT,NULL,JEFFERSON COUNTRY,57
1171,BTL,NULL,W.K. KELLOGG REGIONAL,57
1172,BTR,NULL,RYAN,57
1173,BRW,NULL,WILL ROGERS MEMORIAL,57
1174,MPV,NULL,EDWARD F. KNAPP STATE,57
1175,BNF,NULL,WARM SPRING BAY SPB,57
1176,BWI,KBWI,BALTIMORE-WASHINGTON INTL,57
1177,BFL,NULL,MEADOWS FIELD,57
1178,AUS,NULL,AUSTIN-BERGSTROM INTERNATIONAL,57
1179,AUG,NULL,AUGUSTA STATE,57
1180,AGS,NULL,BUSH FIELD,57
1181,AUO,NULL,AUBURN-OPELIKA,57
1182,ATU,NULL,CASCO COVE,57
1183,AIY,NULL,BADER FIELD,57
1184,ATO,NULL,OHIO UNIVERSITY,57
1185,AVL,NULL,ASHEVILLE REGIONAL,57
1186,AHD,NULL,DOWNTOWN,57
1187,ATW,NULL,OUTAGAMIE COUNTRY,57
1188,ANB,NULL,ANNISTON COUNTRY,57
1189,AID,NULL,MUNICIPAL,57
1190,APN,NULL,ALPENA COUNTRY REGIONAL,57
1191,ALZ,NULL,SEA PLANE BASE,57
1192,HAX,NULL,HATBOX FIELD,57
1193,MKO,NULL,DAVIS FIELD,57
