id,iata,icao,name
3510,NULL,EAK,Evroazia Air
3511,H2,CTB,Belgian Airlines City Bird  S.A.
3512,NULL,FXR,K-Air
3513,2B,BGM,Ak Bars Aero
3514,NULL,YRY,"Russia, Gosnii Ga"
3515,NULL,CDX,Cloudex Oy
3516,NULL,SGF,Swiss Government Flights
3517,NULL,JCX,Jet Connection
3518,NULL,MPJ,Map Management And Planung
3519,NQ,AJX,Air Japan Company Limited
3520,NULL,DEC,Deltacraft Oy
3521,GC,GNR,Gambia International Airlines Ltd.
3522,4R,OEG,Orient Eagle Airways
3523,FT,SRH,Siem Reap Airways International
3524,U9,TAK,Tatarstan Air
3525,NULL,GTS,Gats Airlines
3526,G3,GLO,Gol Transportes Aereos Ltda.
3527,JT,LNI,Lion Air
3528,NR,RUR,Russ Jsc Air Transport Co.
3529,V8,TPS,Transportes Aereos Petroleros S.A.
3530,S3,BBR,SBA Airlines (Santa Barbara Airlines C.A.)
3531,V7,SNG,Air Senegal International
3532,LW,ANV,"Air Nevada Airlines, Inc. Dba Pacific Wings"
3533,BZ,FTI,Fti Fluggesellschaft Mdh
3534,5D,DBR,Dutchbird
3535,P9,PRH,"Pro Air, Inc."
3536,5S,PSV,Servicios Aereos Profesionales S.A.
3537,NULL,GEG,Georgian Airlines
3538,RU,SKI,Tci Skyking Ltd.
3539,U4,BUT,Buryat Airlines Open Joint Stock Company
3540,CF,SDR,City Airline Ab
3541,7I,NDC,Nordic East Airlink Ab
3542,K3,TQN,"Taquan Air Services Inc. (Venture Travel, LLC)"
3543,5D,SLI,Aerolitoral S.A. De C.V.
3544,FC,SYB,Tempelhof Express Airlines Gmbh
3545,NULL,BIO,Bio
3546,NULL,TNF,Tatneftaero
3547,NULL,VSR,Aviastart
3548,NULL,VIB,Vibro Air Flugservice
3549,NULL,QGA,Windrose Air Jetcharter
3550,NULL,GLE,Wws
3551,IE,WYL,Us
3552,VA,VLE,Volareweb
3553,NULL,FXJ,Flexjet Europe
3554,NULL,HTG,Grossman Air Service
3555,NULL,EFD,Eisele Flugdienst
3556,NULL,BKV,Bukovyna
3557,NULL,KTB,Transaviabaltika
3558,BI,GAM,Gambia
3559,2B,ARD,Aerocondor
3560,NULL,BIS,Irbis
3561,NULL,MJL,Iran
3562,NULL,BMK,Kazakhstan
3563,NULL,XLA,Excel Airways
3564,3R,GAI,Moscovia Airlines
3565,NULL,GGL,Gira Globo Lda
3566,NULL,SVP,Saratov Aviation Plant.Joint-Stok Company
3567,NULL,KRV,Khoriv-Avia
3568,NULL,NVI,Aviation Company Limited 'Avial Nv'
3569,GC,GCR,Cougar Leasing
3570,NULL,KAD,"Air Kirovograd, Compania Airlines"
3571,NULL,MMZ,Euro Antlantic
3572,V3,KRP,Carpatair
3573,NULL,KMV,Komintern-Avia
3574,NULL,DSO,Dassault Falkon Service
3575,NULL,VMP,Execujet Europe
3576,NULL,BGI,British Gulf Intl
3577,NULL,FIX,Airfix Aviation
3578,NULL,LBR,Elbe Air
3579,E,DUK,Ducair - Luxembourg Air Ambulance
3580,NULL,BRW,Bright Aviation Services
3581,NULL,LVN,Aliven S.R.L.
3582,NULL,EVN,Euraviation
3583,NULL,GDK,Goldeck Flug
3584,NULL,IMT,Imtrec Aviation
3585,NULL,AZQ,Azerbaijan Hava Yollari
3586,NULL,LUK,Lukavia Oil
3587,NULL,JGD,Jet Group Aviation
3588,NULL,FYG,Belgium
3589,NULL,IEA,Intermediation Aerea
3590,NULL,SIG,Signature Aircraft Charter
3591,NULL,GDA,Goldair International
3592,NULL,NZP,Alliance Avia
3593,NULL,NJE,Netjets Transported Aereos
3594,NULL,CKM,Bks Air Company
3595,NULL,SHY,"Sky Airlines, Turkey"
3596,FH,FHY,Free Bird Airlines
3597,NULL,MNB,Mng Havayollari Ve Tasimacilik A.S.
3598,NULL,SVW,Silver Arrows
3599,NULL,VVI,Vivant Air Ltd
3600,L6,VNZ,"Ао ""Там Air"""
3601,NULL,NBL,"Nobil Air, Moldova"
3602,NULL,NVR,Nova Airlines Ab Area
3603,H,REC,Trans Reco
3604,NULL,WGT,Vw Air Service
3605,MV,RML,Armenian International Airlines
3606,7R,RLU,Rusline
3607,YG,OTL,South Airlines
3608,NULL,REI,Ray Avivtion
3609,NULL,FFD,Stuttgarter Flugdienst Gmbh
3610,NULL,EXH,G5 Executive Ag
3611,KD,KNI,Kaliningradavia
3612,NULL,AKP,Anteks-Polus
3613,NULL,PFF,Rossiya-Wws
3614,NULL,RFF,Russia-Ws
3615,NULL,AHH,Pack Aviation Limited
3616,NULL,MOV,Vim   Airlines
3617,NULL,ISF,Air International France
3618,NULL,FJE,Flyjet Ltd
3619,NULL,KOZ,Angel Airlines
3620,K2,ELO,Eurolot
3621,NULL,HUF,Wws Hungary
3622,NULL,PTI,Privatair S.A
3623,NULL,RIN,Airtranscompany Moldova
3624,US,KYM,Airlines Krym
3625,NULL,SIO,Sirio Spa
3626,NULL,GGO,Avial
3627,5W,AEU,Astraeus Ltd
3628,NULL,VAZ,Airlines 400
3629,NULL,BYL,Bylina Airlines
3630,NULL,OZU,Hozu Air
3631,NULL,KBX,Martinair Log
3632,U8,RNV,Armavia
3633,VM,VOA,Viaggio Air
3634,TQ,TDM,Tandem Aero
3635,NULL,DGX,Dasnair Sa
3636,NULL,GYM,Gumri Airlines
3637,NULL,UMS,Unitemp
3638,NULL,FYN,Fuyun
3639,NULL,BRQ,Buraq Airlines
3640,UQ,BCV,Business Aviation Centre
3641,QB,GFG,Georgian National Airlines
3642,NULL,BDG,Aviation Bridge
3643,NULL,IJM,International Management Gmbh
3644,7Y,FCR,Flying Carpet Airlines
3645,NULL,RIF,Aviation Ministry Of The Interior Of The Russian Federation
3646,NULL,PHG,Phonix Aviation
3647,NULL,ILL,Illich Avia
3648,NULL,EXU,Executive Air
3649,S1,JMS,Us Government
3650,S1,JM1,Us Government
3651,KC,KZR,Air Astana
3652,NULL,BIV,"Aviaservice, Georgia"
3653,NULL,BGF,Aviodetachment
3654,NULL,JTV,Air Independence
3655,NULL,DEF,"Avdef,Nimes"
3656,NULL,XPE,Amira Air
3657,NULL,AWZ,Air West
3658,NULL,GJT,Gestion Aerea Ejecutiva
3659,NULL,HOA,Hola Airlines
3660,NULL,TYW,Tyrol Air Ambulance - TAA
3661,NULL,BZA,Bizair Fluggesellschaft - Germany
3662,NULL,PHW,Phoenix
3663,NULL,KZU,"Kuzu Airlines Cargo, Turkey"
3664,NULL,NWG,Airwing
3665,NULL,FLJ,Flynor Jet S.P.A.
3666,LI,AIU,"Airlink International, Corporation"
3667,NULL,KAO,Kazanskoe Aviatsionnoe Po Im.Gorbunova
3668,NULL,VVA,Aviast Air
3669,NULL,EJO,Execujet Middle East
3670,NULL,PMU,Premium Aviation
3671,NULL,ROJ,Royal Jet
3672,5R,KAJ,Karthago Airlines
3673,6H,ISR,Israir Airlines And Tourism Ltd
3674,NULL,REK,Reem Air
3675,2W,WLC,Welcome Air
3676,NULL,ONG,Sonnig S.A.
3677,NULL,UAB,United Arabian Airlines
3678,CO,CLW,Centralwings
3679,NULL,HMA,"Air Tahoma, Inc"
3680,NULL,MYO,Dominguez Toledo (Grupo Mayaral)
3681,NULL,JEI,Jet Executive International Charter
3682,NULL,VBC,Avb-2004ltd
3683,NULL,DER,"Deer Jet Co, Ltd"
3684,NULL,RNB,Rosneft-Baltica
3685,..,EOL,Airailes
3686,NULL,BXA,Bexair Bahrain
3687,NULL,WGA,"Авиакомпания ""Вега"""
3688,NULL,DLI,Dalia Air
3689,NULL,NXF,Next Flight Aviation
3690,NULL,LYF,Lithuanian Air
3691,NULL,TIH,"Ion Tiriac Air, S.A."
3692,NULL,LXA,Luxaviation
3693,NULL,HMM,Hamra Air
3694,NULL,JSM,Jet Stream Srl
3695,NULL,MGK,Mega Aircompany
3696,NULL,JDI,Jet Story
3697,NULL,JSI,Jet Air Group
3698,NULL,RRY,Tbilisi Aviation University
3699,NULL,DLY,Air Independence
3700,NULL,GLJ,Global Jet
3701,NULL,LZR,Air Lazur-General Grup.
3702,ML,BIE,Air Mediterrenee
3703,U4,PMT,Pmt Air
3704,NULL,DIX,Flugbetriebsgesellschaft Dix Mbh (Dix Aviation)
3705,NULL,PVG,Privilege Style
3706,HG,NLY,Niki Luftfahrt
3707,NULL,BDR,Badr Airlines
3708,NULL,SOX,Solid Air
3709,NULL,SOZ,Sat Airlines
3710,NULL,VXX,Aviaekspress Airlines
3711,IGA,IGA,Skytaxi
3712,5N,AUL,Nordavia
3713,UT,UTA,UTair Aviation Joint-Stock Company
3714,NULL,JDG,Joanas Avialinijos
3715,NULL,EJD,Elit Jets
3716,NULL,OCS,Ocean Sky
3717,2U,ERO,Sun D'Or International Airlines
3718,NULL,GSY,Guard Air
3719,NULL,EGB,Excellent Glide
3720,NULL,POF,Police Aux Frontiers
3721,NULL,DNU,Danu Oro Transportas
3722,NULL,GNJ,Gainjet Aviation S. A.
3723,NULL,IAY,Deadalos Flugbetriebs
3724,NULL,AJF,Avia Consult Flugbetriebs
3725,NULL,TGN,Trigana Air Service
3726,NULL,FMY,Aviation Legere De L'Armee De Terre
3727,NULL,JTI,Imperial Jet
3728,6V,MRW,Mars Rk
3729,8W,PWF,Private Wings Flugcharter
3730,NULL,MJS,Www-Bedarfsluftfuhrt
3731,NULL,RAQ,Rat Aviation Gmbh
3732,NULL,KBR,Koral Blue
3733,NULL,XJC,Xclusive Jet Charter Limited
3734,V5,VPA,DanubeWings
3735,NULL,UJT,Universal Jet Aviation
3736,NULL,SYM,Sayat Air
3737,N2,DAG,Daghestan Airlines
3738,NULL,FGL,Futura Gael
3739,NULL,BFO,Bombardier
3740,NULL,HCW,Hc Airways
3741,NULL,TOM,Thomson Airways
3742,NULL,SOE,Air Soleil
3743,QS,TVS,Travel Service
3744,NULL,TLG,Инвеставиа
3745,4U,GWI,Germanwings
3746,NULL,CID,Asia Continental Airlines
3747,NULL,HGR,Hangar 8 Ltd
3748,NULL,NLK,Elbrus Avia
3749,NULL,SDJ,Club 328
3750,NULL,KSJ,K2 Smart Jets
3751,NULL,RYT,Raya Jet
3752,NULL,UVN,United Aviation
3753,NULL,GSJ,Grossman Jet Services
3754,NULL,NKL,Isthmar World Aviation
3755,NULL,JNL,JetNetherlands
3756,4L,MJX,Euroline Ltd
3757,FB,LZB,Bulgaria Air
3758,NULL,RFL,Interely Srl
3759,NULL,MJE,Empire Aviation
3760,NULL,DJC,Djt Aviation
3761,7W,WRC,Wind Rose Aviation Company
3762,DV,VSV,Scat
3763,NULL,VJS,Vista Jet
3764,NULL,RSJ,Rusjet
3765,F7,BBO,Flybaboo
3766,NULL,IMJ,Imperial Jet
3767,NULL,BID,Bin Air
3768,NULL,AHO,Air Hamburg
3769,NULL,VFI,Dr.Schenk Flugbetrieb
3770,UG,SEN,Sevenair
3771,W6,WZZ,Wizzair Hungary Ltd
3772,ADZ,ADZ,Aviodelta
3773,NULL,EWZ,East Wing
3774,NO,NOS,Neos
3775,NULL,TIE,Time Air
3776,KO,KHO,Khors Aircompany Ltd
3777,NULL,MJF,Mjet Aviation Gmbh
3778,NULL,DXT,Air Management Group
3779,G9,ABY,Air Arabia
3780,WU,WAU,Wizz Air Україна
3781,NULL,HTM,Htm Jet Service Gmbh
3782,ND,GSW,Sky Wings Airlines
3783,NULL,ORI,Orion Air
3784,NULL,CGP,Capital Aircraft Group
3785,OB,JOR,Blue Air
3786,S4,RZO,Sata International
3787,NULL,KZS,Kazaviaspas
3788,4Y,BLE,Blue Line
3789,A2,AZI,Astra Airlines
3790,NULL,DNE,Venid Air
3791,NULL,LMZ,Air Almaty ZK
3792,NULL,PKZ,Prime Aviation Jsc
3793,NULL,TFG,Bluestream Aviation
3794,NULL,UHL,Украинские Вертолеты
3795,NULL,KEJ,Kaz Air Jet
3796,NULL,JKZ,Set One
3797,NULL,OPS,Opera Set
3798,NULL,AUJ,Bfs Gmbh
3799,NULL,FRF,Fleet Air International Ltd
3800,NULL,BUC,Bulgarian Air Charter
3801,NULL,SJT,Swiss Jet Ltd
3802,A6,LPV,Air Alps Aviation
3803,YW,ANE,Air Nostrum
3804,NULL,JLF,Jetline
3805,NULL,EDC,"Air Charter Scotland, Ltd."
3806,NULL,TGM,Tag Aviation Europe
3807,NULL,MPF,Map Executive Flight Services Gmbh
3808,NULL,SIW,Sirio Executive
3809,NULL,OPJ,Opera Jet
3810,NULL,ICJ,Icejet
3811,NULL,DFL,Scandinavian Air Ambulance Ab
3812,XG,CLI,Clickair
3813,NULL,PLM,Air Pullmantur
3814,NULL,MLM,Comlux Malta Ltd.
3815,NULL,GNX,Genex Ltd
3816,NULL,PTF,Petroff Air
3817,NULL,VPC,Panaviatic A.S
3818,NULL,FJK,"Fly Jet, Kazakhstan"
3819,NULL,CVI,Centeravia Llc
3820,NULL,WLB,Wings Of Lebanon Aviation
3821,NULL,QFZ,Fars Air Qeshm
3822,NULL,KTC,Kyrgyz Trans Avia
3823,SU_Cargo,RCF,CARGO Aeroflot
3824,NULL,PZY,Zapolyariye
3825,NULL,SWW,Shovkoviy Shlyah Ltd Airlines
3826,5K,HFY,Hi Fly
3827,WI,WHT,White Airlines S.A.
3828,EY,ETD,Etihad Airways
3829,NULL,TBB,Air Iberia
3830,FZ,FDB,Flydubai
3831,NULL,DET,D.E.T.A Air
3832,NULL,LUC,Albinati Aeronautics Sa
3833,NULL,OKT,Soko Aviation
3834,NULL,AWG,"Air West, Georgia"
3835,QU,UTN,Azur Air Ukraine Airlines
3836,NULL,MHD,Yas Airline
3837,4J,SMR,Somon Air
3838,NULL,PHY,Phoenix Avia
3839,NULL,GST,Georgian Star International
3840,NULL,RTZ,Regional Air Services
3841,NULL,IAA,Ikaros Aviation A.V.V
3842,NULL,RSD,Special Flight Detachment 'Russia'
3843,NULL,ESW,Esw Business Aviation
3844,CHG,CHG,Challenge Aero AG
3845,LIX,LIX,Linxair Aviation Transportation D.O.O
3846,NULL,VVP,Vipjets Luftfahrtunternehmen Gmbh
3847,NULL,AJU,Air Jetsul
3848,NULL,RSB,Rubystar
3849,JD,CBJ,"Beijing Capital Airlines Co, Ltd"
3850,6Y,ART,Smartlynx Airlines
3851,NULL,CLU,Triple Alpha
3852,NULL,EAV,Elitavia
3853,NULL,LMJ,Masterjet Aviacao Executiva
3854,HH,TBM,Taban Air Lines
3855,NULL,OXM,Orion (Malta) Ltd
3856,NULL,ESQ,Europ-Star Aircraft Gmbh
3857,R3,SYL,Yakutia Air
3858,NULL,PEF,Perfect Aviaton / Perfect Aviaton Sa
3859,NULL,DLN,Dalmatian Air
3860,NULL,TBJ,Tag Aviation Asia Limited
3861,QN,ARR,Air Armenia
3862,NULL,AXU,Abu Dhabi Aviation
3863,NULL,XGO,Airgo Flugservice
3864,IV,JET,Wind Jet
3865,ZG,GOZ,Groznyy Avia
3866,NULL,SME,Smart Aviation Company
3867,NULL,MDT,Sundt Air
3868,GH,GLP,Globus
3869,NULL,BTM,Air Batumi
3870,NULL,FJK,Fly Jet.Kz
3871,NULL,TSH,Regional 1 Airlines
3872,NULL,MXU,Maximus Air Cargo
3873,NULL,UPC,Comlux-Kz
3874,K4,CKS,Kalitta Air
3875,JK,JKK,Spanair
3876,NULL,VJA,Viennajet Bedarfsluftfahrts Gmbh
3877,NULL,SMK,Semeyavia
3878,NULL,CD1,Для Бизнес-Зала
3879,NULL,PLS,Jetalliance East
3880,NULL,COL,Columbia Air
3881,NULL,VBV,Avb-2010
3882,3O,MAC,Air Arabia Maroc
3883,NULL,UCK,Air Division Of The Eastern Kazakhstan Region
3884,CQ,CCG,Czech Connect Airlines
3885,NULL,MGO,Mango Punto Fa
3886,NULL,CLJ,Cello Aviation
3887,NULL,CPI,Compagnia Aeronautica Italiana
3888,NULL,LLT,Classic Jet
3889,NULL,PRV,Premier Aviation Services
3890,NULL,BTT,Business Jet Travel
3891,MY,MWA,Midwest Airlines
3892,HK,HAY,Hamburg Airways.
3893,OF,FIF,Air Finland
3894,KK,KKK,Atlasjet Havacilik
3895,NULL,IXR,IXAIR
3896,NULL,PJI,Privatejet Intl Gmbh
3897,NULL,VRJ,VR JET
3898,NULL,ZGR,Zagorje
3899,NULL,BTN,BTL
3900,NULL,LRR,Lorraine Aviation
3901,VY,VLG,Vueling Airlines
3902,TY,IWD,Iberworld
3903,6Q,SAW,Cham Wings
3904,7M,MSA,Mistral Air
3905,X3,TUI,TUIfly
3906,NULL,ENT,Enter Air
3907,NULL,TP1,Для Бизнес-Зала
3908,NULL,KGK,Sky KG Airlines
3909,NULL,PPV,"Petropavlovsk, CJSC"
3910,IQ,AUB,Augsburg Airways
3911,NULL,ATL,Atlas Air Service
3912,NULL,LJB,Al Jabeer
3913,OG,ONX,Air Onix
3914,TO,TVF,Transavia France
3915,TB,JAF,JetAirFly
3916,9C,CCS,Samair
3917,2N,NTJ,Nextjet
3918,PF,PRI,Primera Air
3919,W8,CJT,Cargojet Airways
3920,CD,CND,Corendon Dutch Airlines
3921,SE,XLF,XL Airways France
3922,C4,CGK,Click Airways
3923,HW,FHE,Hello
3924,FQ,TCW,Thomas Cook Airlines Belgium
3925,HC,HCC,Holidays Czech Airlines
3926,NULL,OJT,Oryx Jet
3927,NULL,PDY,Pen-Avia
3928,NULL,JTG,Jet Time
3929,NULL,MZT,First Mandarin Business Aviation
3930,NULL,VLJ,Valljet
3931,X9,NVD,Avion Express
3932,TEJ,TEJ,AeroJet
3933,NULL,ELZ,Alpha Air LTD
3934,NULL,YAP,OLT Express Poland
3935,NULL,TTJ,Tatra Jet
3936,NULL,GWC,Gulf Wings
3937,NULL,FYJ,Flyjet
3938,NULL,SLD,Silver Air Ltd
3939,I2,IBS,Iberia Express
3940,NULL,BEY,Bestfly
3941,NULL,IAM,Flugrettungs GmbH
3942,NULL,VJT,Vistajet
3943,NULL,SYU,Sky Unlimited
3944,JN,NLV,New Livingston Spa
3945,Y8,YZR,Yangtze River Express
3946,NULL,FYL,Flying Group Luxembourg
3947,9Y,FGE,Fly Georgia
3948,NULL,SXI,Southern Cross International
3949,NULL,URT,UkrAsist
3950,NULL,HYP,Hyperion Aviation
3951,7L,AZG,Silk Way West
3952,NULL,GER,Eagle Aviation
3953,NULL,PVT,Golden Falcon Aviation
3954,NULL,CVK,Cavok Air
3955,NULL,FXT,Flexflight
3956,NULL,CXB,Comlux Aruba N.V.
3957,NULL,LFJ,AirLife Logistic
3958,M2,MHV,MHS Aviation GmbH
3959,NULL,OTJ,Ten Airways
3960,NULL,VCJ,Avcon Jet Malta
3961,KW,KHK,Kharkiv Airlines
3962,NULL,PNC,PAN -AIR
3963,NULL,AAA,Ansett Australia Holdings ltd
3964,K5,ABE,Aban Air
3965,NULL,ABH,"Hokuriku-Koukuu Co., Ltd"
3966,NULL,ABI,"Alba-Air Aviacion, S.L."
3967,NULL,GSH,Gama Aviation FZC
3968,EL,ELN,Ellinair
3969,NULL,RWZ,Red WIngs Airlines
3970,A3,AEE,Aegean Airlines
3971,7L,AZX,AB Airlines
3972,NULL,AHU,ABC Air Hungary
3973,2D,AOG,AeroVIP
3974,NULL,AAP,Aerovista Airlines
3975,NULL,VGF,Aerovista Gulf Express
3976,NULL,VOG,Aerovolga
3977,L8,EKG,Afric Aviation
3978,ZI,AAF,Aigle Azur
3979,TD,NTL,Air Anatolia
3980,NULL,LTE,Air Asturias
3981,ICS,ICS,ICS Handling
3982,D4,DAT,Dart
3983,INTRACO,INTRACO,INTRACO
3984,3N,URG,AIR URGA
3985,SVR,SVR,SOVEREIGN EXPRESS
3986,SRN,SRN,SPRINT AIR
3987,MSA,MSA,MASTERAVIA
3988,UN,TSO,TRANSAERO
3989,FA,FA,FORD AERO UA
3990,YE,ANR,YANAIR
3991,BJU,BJU,AERO JET
3992,UAR,UAR,AEROSTAR
3993,BSP,UDN,Dniproavia
3994,UKN,UKN,GAP UKRAINE
3995,AG,AG,AERO AGENTS
3996,SNN,SNN,Shannon Air
3997,NULL,GCA,Grand Cru Airlines
3998,MIL,MIL,Military of Ukraine
3999,AVH,AVH,Aviahandling
4000,LTV,LTV,Litavio Consulting
4001,JTL,JTL,JETLUX
4002,NULL,BAF,Belgian Air Force
4003,RA,RA,RusAero
4004,J7,CVC,AVIACENTER
4005,SP,SP,SKYPLAN
4006,KO,KO,KASTRON OPERATIONS LMT.
4007,AST,AST,AVIASTAR
4008,JWS,JWS,JETWINGS
4009,NULL,at,american trading company
4010,sky,sky,test
4011,UH,UJX,ATLASJET-UA
4012,MG,MGP,MEGAPOLIS
4013,NULL,MO,MINISTERSTVO OBORONI TURKMENISTANA
4014,GRX,GR,AIRCOMPANY GRODNO
4015,APL,AP,AEROPLUSENGENIRING
4016,SH,SH,SBA Flight Support Services Ltd
4017,SKY1,FZE,SKY Techniques
4018,SKY,SKY,SKY
4019,JU,ASL,Air Serbia
4020,CAA,CAA,Chellenger Aero Agent
4021,CAA,CAA,Chellenger Aero Agent
4022,AND,ANDA,Anda Airlines
4023,PES,PES,POLEX EXPRESS
4024,NON,NON,VC2266
4025,VIN,VIN,Vinnica Aeroport
4026,ICSA,ICSA,ICS-AERO SM S.R.L.
4027,8H,BGH,BH Air
4028,TS,TS,TRANSSERVICE
4029,ATC,ATC,AVIATRAFICCOM
4030,ODY-DM,ODY-DM,Odyssey DMCC Domestic
4031,SKH,SKH,Скай Хендлинг
4032,CLOH,CLOH,Челендж Аеропорт
4033,STMH,STMH,Стримлайн ОПС
4034,FZCO,FZCO,"Jetex FZCO, ОАЭ"
4035,APO,APO,"APOGEE FZCO, ОАЭ"
4036,TLI,TLI,Tango Limited
4037,EVO,EVO,EVO JET SERVICES
4038,SYK,SYK,Авіаційний центр «Скай
4039,SAZO,SAZO,SAZ ORSTZ DSNS
4040,COH,COLH,COLUMBUS HANDLING
4041,ESKY,ESKY,Euston SKY LTD
4042,Ov Star J,OVS,Overstar s.r.l
4043,VCHA0215,VCHA0215,VCHA0215
4044,UWJ,UWJ,ukrainian wings airlines
4045,AL,ALL,AIRLINK
4046,NN,NN,AIR ALANNA
4047,AEH,AEH,Aerohandling company
4048,UIA,UIA,Ukrainian International Airlines
4049,UHK,UHK,Ukrainian Handling Company
4050,EG,ERN,ERNEST
4051,SSV,DM,ANDA AIR
4052,PQ,SQP,SKYUP
4053,KLJ,KLJ,KLJ
4054,GRF,GRF,GRF
4055,E4,E4,E4
4056,AXY,AXY,AXY
4057,R5,jav,Jordan Aviation
4058,R5,JAV,JORDAN AVIATION
4059,4R,SEK,STAR EAST AIRLINE
4060,KM,AMC,AIR MALTA
4061,MYW,MJ,MYWAY AIRLINES
4062,FN,FUN,FUNAIR
4063,VC2069,VC2069,VCHA2069
4064,FNR,FNR,FUNAIR
4065,NULL,UNAS,UAB Nordic Aircraft Systems
4066,JNK,JK,JONNIKA
4067,RG,RJD,rotana jet
4068,AX,AXY,AIR X CHARTER
4069,NULL,DRW,Dream Wind
4070,EJO,EJOJ,EVROJET
4071,TCX,MT,THOMAS COOK AIRLINES
4072,ClickAvia,CAND,CLICK AVIATION NETWORK DMCC (UAE)
4073,ExecAvia,EXAV,Executive Aviation
4074,BALM,BALM,Balmeronia enterprises LTD
4075,KBP,KBP,Boryspil Airport
4076,KON,KON,Concord AH
4077,SX,SXD,SUN EXPRESS
4078,SD,SDR,SUNDAIR
4079,EN,ENT,ENTERAIR
4080,ACASS,ACASS,ACASS Canada Limited
4081,KRE,KREK,KREATIV AGENCY
4082,Landhill,Landhill,Landhill Trading
4083,LIP,LIP,LIP
4084,MDF,MDF,MDF
4085,N449TA,N449TA,N449TA
4086,AM,AM,AIR MANAS
4087,OE,LDM,Lauda
4088,NULL,AOJ,AOJ
4089,MLT,MLT,MALETH AERO AOC LIMITED
4090,PSK,PSK,PSK
4091,PVV,FP,Fly Pro
4092,KUP,KUP,KUP
