id,iata,icao,name
2631,NULL,POB,"Servicios Aereos Poblanos, S.A. De C.V."
2632,NULL,SRO,Servicios Aereos Rutas Oriente S.A. De C.V.
2633,NULL,SSE,"Servicios Aereos Sunset, S.A. De C.V."
2634,NULL,TBS,"Servicios Aereos Tribasa, S.A. De C.V."
2635,NULL,FTG,"Servicios Aereos Y Fotograficos, S.A. De C.V."
2636,NULL,SMS,"Servicios Aerolineas Mexicanas, S.A. De C.V."
2637,NULL,SVO,"Servicios Aeronauticos De Oriente, S.A. De C.V."
2638,NULL,SZT,"Servicios Aeronauticos Z, S.A. De C.V."
2639,NULL,SQL,"Servicios De Alquiler Aereo, S.A. De C.V."
2640,NULL,SVI,"Servicios De Transporte Aereo, S.A. De C.V."
2641,NULL,SAT,Servico Acoreano De Transportes Aereos - Ep (Sata)
2642,NULL,CRZ,"Servicos Aereos Cruzeiro Do Sul, S.A."
2643,NULL,TNS,Servicos Aereos Do Vale Amazonico S/A
2644,NULL,STS,Servicos Auxiliares De Transportes Aereos (Sata)
2645,NULL,SGH,Servisair Ltd.
2646,NULL,SBF,"Seven Bar Flying Service, Inc. (Albuquerque, Nm)"
2647,NULL,STF,Sft-Sudanese Flight
2648,SS,SHB,Shabair
2649,NL,SAI,Shaheen Air International
2650,NULL,SHN,Shaheen Airport Services
2651,SC,CDG,Shandong Airlines
2652,SF,CSH,Shanghai Airlines
2653,NULL,CXI,Shanxi Airlines
2654,NULL,SHJ,Sharjah Ruler'S Flight
2655,NULL,SHV,"Shavano Air, Inc. (Poncha Springs, Co)"
2656,NULL,SYS,Shawbury Ftu
2657,NULL,SYE,Sheba Aviation
2659,NULL,SKR,Shonkar
2660,NULL,SHR,"Shooter Air Courier, Corp"
2661,NULL,SHG,Shoprite Group Ltd
2662,7Q,SHK,Shorouk Air
2663,NULL,SBL,Short Brothers Plc
2664,NULL,CSY,Shuangyang General Aviation Co.
2665,NULL,SFC,Shuswap Flight Centre Ltd.
2666,NULL,SCR,"Si-Chang Flying Service Co., Ltd."
2667,NULL,SIB,Sibaviatrans
2668,S7,SBI,S7 Airlines
2669,3U,CSC,Sichuan Airlines
2670,NULL,SID,Sidfin Air Limited
2671,NULL,SIE,"Sierra Express (Reno, Nv)"
2672,NULL,SRX,"Sierra Expressway Airlines (Oakland, Ca)"
2673,LJ,SLA,Sierra National Airlines
2674,R,SPA,"Sierra Pacific Airlines (North Hollywood, Ca)"
2675,MI,SLK,Silkair (Singapore) Pte Ltd
2676,NULL,IJS,"Silvair, Inc. (Miami Springs, Fl)"
2677,NULL,SLH,"Silverhawk Aviation, Inc. (Seward, Ne)"
2678,NULL,SMB,Simba Air Cargo Ltd
2679,NULL,NCS,Simpson Air Ltd.
2680,NULL,SIM,Simulated Flight Training Limited
2681,NULL,SIN,Sinair
2682,SQ,SIA,Singapore Airlines Limited
2683,NULL,SIT,Sita - Societe Internationale De Telecommunications  Aeronautiques
2684,NULL,SCG,Sitra Cargo System
2685,5U,SGY,"Skagway Air Service, Inc. (Skagway, Ak)"
2686,5Q,LND,"Skargardsflyg Ab, Finland"
2687,NULL,SOA,Skoda Air
2688,NULL,SPN,Skorpion Air
2689,NULL,NJA,Sky Air Cargo Services (Uk) Ltd
2690,NULL,FLH,"Sky Bus, Inc. (Denver, Co)"
2691,2E,SCB,Sky Cabs (Pvt.) Ltd.
2692,NULL,SCE,Sky Care Ltd
2693,NULL,SFI,"Sky Freighters, N.V."
2694,NULL,SHC,"Sky Harbor Air Service Inc. (Cheyenne, Wy)"
2695,NULL,SKD,"Sky Harbor Air Service, Inc. (Omaha, Ne)"
2696,NULL,SLY,Sky Line For Air Services Ltd
2697,NULL,LNR,Sky Liners Air Services Ltd.
2698,NULL,SYF,"Sky One Express Airlines Inc. (Reistertown, Md)"
2699,NULL,SKS,Sky Service
2700,NULL,SKE,"Sky Tours, Inc. (Port Clinton, Oh)"
2701,NULL,SKW,"Sky West Aviation, Inc. (St. George, Ut)"
2702,NULL,SKL,Skycharter (Malton) Limited
2703,NULL,SKG,Skycraft Air Transport Inc.
2704,NULL,SKF,"Skycraft, Inc. (Seattle, Wa)"
2705,NULL,SIF,Skycy Freighters International Ltd
2706,NULL,SFT,"Skyfreight, Inc. (Seattle, Wa)"
2707,NULL,SKB,"Skyfreighters Corp. (Grand Prairie, Tx)"
2708,NULL,SKT,Skyjet
2709,NULL,SKJ,Skyjet Inc.
2710,NULL,SEG,Skyline
2711,NULL,SKN,"Skyline Aviation Services, Inc. (Beaver Falls, Pa)"
2712,NULL,SKK,Skylink Aviation Inc.
2713,NULL,XXS,Skyplan Services Ltd.
2714,5g,SSV,Skyservice Airlines Inc. ANDA
2715,NULL,SSK,"Skystar International, Inc. (Washington, Nj)"
2716,NULL,STD,Skytrak Aeronautical Systems Ltd
2717,NULL,STJ,Skytrans S.A.
2718,K9,SGK,Skyward Aviation Ltd
2719,JZ,SKX,Skyways
2720,NULL,SAE,Skyways Africa Limited
2721,NULL,SCF,Skywings Ab
2722,NULL,SRK,Skywork Sa
2723,NULL,SPC,"Skyworld Airlines (Denver, Co)"
2724,NULL,SYJ,Slate Falls Airways Ltd.
2725,NULL,SLN,Sloane Aviation Ltd
2726,NULL,SQF,Slovak Air Force
2727,NULL,SXC,Slovak Aviation Company
2728,NULL,SSG,Slovak Government Flying Service
2729,NULL,SLV,Slovtrans Air Ltd
2730,NULL,SMF,Smalandsflyg Ab
2731,NULL,EKP,"Small Enterprise ""Ecopatrol"""
2732,NULL,SML,Smith Air (1976) Ltd.
2733,NULL,SMH,"Smithair, Inc. (Atlanta, Ga)"
2734,NULL,SBQ,Smithkline Beacham Clinical Labs
2735,NULL,SNM,Snam Spa
2736,NULL,SNU,Snunit Aviation
2737,NULL,SLR,Sobelair - Societe Belge De Transports Aeriens
2738,NULL,SOC,Sochi Special Aviation
2739,NULL,SDK,Sociedad Aerea Del Caqueta Ltda
2740,NULL,STM,Sociedad Anonima Empresa De Turismo Aereo
2741,NULL,SET,Sociedad Ecuatoriana De Transportes Aereos Ltda.  (Saeta)
2742,NULL,RTR,Sociedade Brasileira De Turismo (Rotatur)
2743,NULL,SPH,"Sociedade Portuguesa De Helicopteros, Lda. (Sph)"
2744,AP,ADH,Air One
2745,NULL,BST,Societa' Besit Srl
2746,NULL,STI,Societa' Servizi Trasporti
2747,NULL,SSI,Societa' Sunline
2748,NULL,TEI,Societa' Tea Italia
2749,NULL,OPE,Societe 3 S Aviation (Aerope)
2750,NULL,TML,Societe Anonyme De Transport Et Travaux Aeriens De  Madagascar (Tam)
2751,NULL,AGU,Societe Anonyme De Transports Aeriens Air-Guadeloupe
2752,NULL,SNS,Societe Centrafricaine De Transport Aerien
2753,NULL,CLG,Societe Chaleng'Air
2754,5S,ARP,Societe D'Exploitation Aeropostale
2755,NULL,OTS,Societe De Taxis Aeriens (Sota)
2756,NULL,STC,Societe De Transports Et De Tourisme
2757,NULL,HTF,Societe Helitrans France
2758,NULL,APR,Societe Nouvelle D'Exploitation Air Provence
2759,NULL,NJT,Societe Novajet
2760,NULL,CEK,Societe Seca
2761,NULL,SRT,Society Of Romanian Air Transports (Star)
2762,NULL,OAT,Sogervair/Transoceanic Aviation
2763,NULL,SOK,Sokol - Atsc
2764,NULL,SOP,Solinair Ltd
2765,IE,SOL,Solomon Airlines Limited
2766,NULL,SOM,Somali Airlines
2767,NULL,SMZ,Sonmez Airlines
2768,NULL,SNL,"Soonair Lines, Inc. (Tulsa, Ok)"
2769,NULL,SAG,Sos Flygambulans Ab
2770,SA,SAA,South African Airways (Saa)
2771,NULL,SCN,South American Airlines
2772,NULL,PLT,"South Carolina Aeronautics Commission (Columbia, Sc)"
2773,XE,SCA,"South Central Air, Inc. (Kenai, Ak)"
2774,NULL,SEC,South East College Of Air Training
2775,NULL,SEK,South Express
2776,NULL,FOM,South Pacific Air Charters
2777,NULL,SPI,"South Pacific Island Airways, Inc."
2778,NULL,SWC,South West Air Ltd.
2779,MSW,MSW,West-Avia LLP
2780,NULL,SEA,"Southeast Air, Inc. (New Bedford, Ma)"
2781,NULL,SPU,"Southeast Airmotive Corp. (Charlotte, Nc)"
2782,NULL,SOT,"Southeast Correct Craft, Inc. (Orlando, Fl)"
2783,NULL,SXE,"Southeast Express Airlines, Inc. (Greensboro, Nc)"
2784,NULL,PTM,"Southeastern Airways Corp. (Double Springs, Al)"
2785,WK,HSN,Southern Air Ltd
2786,NULL,SJM,Southern Air Transport Inc.
2787,EC,SOU,"Southern Airways (Jackson, Ms)"
2788,NULL,SOI,Southern Aviation Limited
2789,NULL,STV,Southern Aviation Limited
2790,NULL,SXA,"Southern Cross Aviation, Inc. (Mena, Ar)"
2791,NULL,SFS,Southern Frontier Air Transport Ltd.
2792,NULL,ALC,"Southern Jersey Airways, Inc. (Atlantic City, Nj)"
2793,NULL,SOH,"Southern Ohio Aviation Sales Co. (W. Carrollton, Oh)"
2794,NULL,SSC,"Southern Seaplane, Inc. (Belle Chasse, La)"
2795,ZO,SFL,Southflight Aviation Ltd
2796,NULL,XPG,Southport Aerospace Centre
2797,WN,SWA,"Southwest Airlines Co. (San Antonio, Tx)"
2798,NULL,SOW,Sowind Air Ltd.
2799,NULL,KIT,Space And Transport (Kit)
2800,NULL,PAR,Spair
2801,JK,SPP,Spanair
2802,NULL,SPS,"Spasa (Servicios Politecnicos Aereos, S.A.)"
2803,NULL,SCI,Special Cargo Airlines
2804,NULL,XSA,"Spectrum Air Service, Inc. (League City,Tx)"
2805,NULL,SPW,Speedwings Sa
2806,NK,SWG,"Spirit Airlines, Inc. (Eastpointe, Mi)"
2807,NULL,WCC,"Sports Air Travel, Inc. (Troutdale, Or)"
2808,NULL,SPL,"Sportsflight Airways, Inc. (Tucson Az)"
2809,NULL,SPE,"Sprague Electric Co. (North Adams, Ma)"
2810,NULL,SAQ,Springbank Aviation Ltd.
2811,NULL,SPG,"Springdale Air Service, Inc. (Springdale, Ar)"
2812,NULL,ASL,"Spurling Aviation (Seattle, Wa)"
2813,4R,PUR,Spurwing Airlines (Pty) Ltd
2814,NULL,SDA,St. Andrews Airways Ltd.
2815,NULL,STN,St. Athan Mu
2816,NULL,SBO,Stabo Air Limited
2817,NULL,SOB,Stabo Freight Limited
2818,NULL,STL,Stapleford Flight Centre
2819,NULL,SRR,Star Air I/S
2820,NULL,TIM,Star Asia
2821,NULL,STA,Star Aviation
2822,NULL,SEU,Star Europe
2823,NULL,SSA,Star Of Asia
2824,NULL,SSD,Star Service International
2825,NULL,SSP,Starspeed Ltd
2826,NULL,UFA,"State Flight Academy Of Ukraine, The"
2827,R2,ORB,Orenair/Orenburg Airlines
2828,NULL,FBD,Statens Trafikkflygerskole
2829,NULL,SWJ,"Stateswest Airlines, Inc. (Phoenix, Az)"
2830,NULL,STR,Stellair
2831,NULL,XSN,Stephenville Aviation Services
2832,NULL,STH,Sterkh
2833,NULL,JJW,"Sternair, Inc. D/B/A Jetway (Dallas, Tx)"
2834,NULL,YBE,"Stewart Aviation Services, Inc. (Little Rock, Ar)"
2835,NULL,SCS,Straits Air Charter Ltd
2836,NULL,FCA,Stratford Airways Ltd.
2837,JN,SSW,Streamline Aviation Ltd
2838,NULL,SUB,"Suburban Air Freight, Inc. (Omaha, Ne)"
2839,CB,SAY,Scotairways
2840,NULL,GID,"Sud Air Transport, S.A."
2841,SD,SUD,Sudan Airways
2842,NULL,SAC,Sudanese Aeronautical Services Co. Ltd (Sasco  Airlines)
2843,NULL,SFG,"Sudflug Suddeutsche Fluggesellschaft Mbh,  Frankfurt/M. (Neu-Isenburg)"
2844,NULL,SMM,"Summit Airlines (Philadelphia, Pa)"
2845,NULL,SNX,Sun Air Aviation Services
2846,NULL,SCX,"Sun Country Airlines, Inc. (Minneapolis, Mn)"
2847,NULL,SJI,"Sun Jet International Airlines, Inc. (Largo, Fl)"
2848,NULL,SNQ,"Sun Quest Executive Air Charter, Inc. (Pacoima, Ca)"
2849,NULL,SNW,"Sun West Airlines (Scottsdale, Az)"
2850,EZ,SUS,Sun-Air Of Scandinavia A/S
2851,NULL,CDL,"Sunbird Airlines, Inc. (Charlotte, Nc)"
2852,NULL,SNT,"Suncoast Aviation, Inc.(Clearwater,Fl)"
2853,NULL,SDN,"Sundance Air, Incorporated (Denver, Co)"
2854,NULL,SDF,"Sundorph Aeronautical Corp. (Cleveland, Oh)"
2855,PI,SUF,Sunflower Airlines Limited
2856,NULL,VOR,Sunna Air Ltd Iceland
2857,NULL,SNH,Sunshine Air (Pvt) Ltd
2858,NULL,SON,"Sunshine Air Tours (Van Nuys, Ca)"
2859,OC,SHS,Sunshine Aviation Sa
2860,NULL,SWY,Sunways Airlines Ab
2861,NULL,SST,Sunwest Airlines Ltd.
2862,SM,SWI,"Sunworld International Airlines, Inc."
2863,M7,HKA,Superior Aviation Services
2864,NULL,SHF,Support Helicopter Flight Ni
2865,PY,SLM,Surinaamse Luchtvaart Maatschappij N.V.
2866,NULL,SUR,Surrey & Kent Flying Club
2867,NULL,PNS,Survey Udara (Penas) Pt
2868,NULL,HWK,Swazi Air Charter (Pty) Ltd
2869,NULL,SDC,Swedish Airforce
2870,NULL,CBN,Swedish Civil Aviation Administration
2871,NULL,SCL,Swiftair Cargo Ltd.
2872,W3,SWT,Swiftair S.A.
2873,NULL,SLC,Swiftlines Limited
2874,NULL,SAZ,"Swiss Air-Ambulance Ltd., Zurich"
2875,NULL,ANS,Symbol S.A.
2876,NULL,SYN,Syncrude Canada Ltd
2877,RB,SYR,Syrian Arab Airlines
2878,NULL,TTS,T.A.S.D. (Transporti Aerei Speciali)
2879,NULL,RDA,T.K. Travel Limited
2880,DT,DTA,"Taag, Linhas Aereas De Angola (Angola Airlines)"
2881,T2,TAB,"Taba, Transportes Aereos Da Bacia Amazonica S.A."
2882,TA,TAI,Taca International Airlines S.A.
2883,NULL,TDC,"Tadair, S.A."
2884,NULL,ESS,"Taes (Tecnicas Aereas De Estudios Y Servicios, S.A.)"
2885,NULL,HET,Taf Helicopters S.A.
2886,NULL,TSD,Taf-Linhas Aereas S/A
2887,NULL,TCA,Tahiti Conquest Airlines
2888,NULL,GIG,Taifun
2889,NULL,TIN,Taino Tours
2890,7J,TJK,Tajikair
2891,NULL,TZK,Tajikistan
2892,NULL,TIL,Tajikistan International Airlines
2893,NULL,TAL,Talair Pty. Ltd.
2894,JJ,TAM,Tam Transportes Aereos Regionais S.A.
2895,NULL,DTE,Tamas Darida Enterprise
2896,4E,TNR,Tanana Air Services
